PU-Name,Latitude,Longitude,APC,LP,PDP,NNPP
"OJIRAMI, DISPENSARY YARD PSH",7.3390255,6.22302,95,138,5,2
"OJIRAMI,  AFEKUNU DISPENSARY",7.3390255,6.22302,145,75,29,0
"OJIRAMI, AFEKUNU MARKET",7.3390255,6.22302,142,89,46,1
"SOMORIKA, PUBLIC FORUM",7.3751243,6.0891032,22,49,133,0
"SOMORIKA, EKPERE",7.3751243,6.0891032,24,29,106,0
ESHAWA PUBLIC SQUARE,7.3751243,6.0891032,34,51,51,0
"ONUMU, NR. ANG. CHURCH",7.3751243,6.0891032,127,35,84,0
"OGBE, APIASA PRIMARY S CHOOL    I",7.3751243,6.0891032,113,81,45,0
"OGBE, APIASA  PRIMARY SCHOOL  II",7.3751243,6.0891032,96,31,18,0
"SASARO, MATERNITY CENTRE",7.3751243,6.0891032,55,55,99,0
"AIYEGUNLE, BY CHIEF ALIU'S COMP I",7.3751243,6.0891032,36,54,46,0
AIYEGUNLE  BY CHIEF ALIU'S COMP II,7.3751243,6.0891032,40,34,46,1
"UGBOSHI-ELE,  BY ELUKA'S COMP",7.3751243,6.0891032,131,31,82,1
"UGBOSHI-ELE,  OPPOSITE SAMSONS COMP",7.3751243,6.0891032,83,39,111,0
"UGBOSHI-AFE, BY MARKET SQUARE I",8.036311,6.0427732,128,45,81,0
UGBOSHI-AFE  BY MARKET SQUARE II,7.3751243,6.0891032,115,101,36,0
"UGBOSHI-AFE,  L.A. P/S",7.3751243,6.0891032,99,29,70,0
"OGUGU, EDEMINA P/S.",7.3751243,6.0891032,173,35,117,0
"ATTE, MATERNITY CENTRE",7.2798473,6.1394745,51,30,25,1
"ATTE,  IRHOFO P/S, ATTE",7.2105158,6.2329904,72,73,50,0
"IKPESHI, OKHUEROMOH P/S I",7.1456899,6.181599,52,142,73,0
IKPESHI OKHUEROMOH P/S II,7.145693,6.18167,29,83,58,0
"EGBIGERE, NR. CATHOLIC CHURCH",7.283333,6.133333,74,121,55,0
"UNEME -  NEKHUA, COURT HALL I",7.2977184,6.2482149,81,114,86,0
"UNEME- NEKHUA,  COURT HALL II",7.2977184,6.2482149,23,16,5,0
"AIYETORO, OPP. CMS CHURCH",7.2977184,6.2482149,65,70,50,0
"AKPAMA,  OPP CMS CHURCH",7.2977184,6.2482149,55,107,62,1
"EKPEDO, OGUN P/, S EKPEDO",7.2977184,6.2482149,57,117,65,0
"EKPEDO,  BY DISPENSARY I",7.2977184,6.2482149,129,147,75,1
"EKPEDO, BY  DISPENSARY II",7.2977184,6.2482149,67,89,94,0
"EKPEDO,  IMIAVA STREET",7.2977184,6.2482149,51,30,25,1
"UNEME-OSU, OSU P/S I",7.2977184,6.2482149,72,73,50,0
"UNEME-OSU, OSU  P/S II",7.2977184,6.2482149,66,67,61,0
"UNEME-OSU, OSU  P/S III",7.4179423,6.1715484,52,142,73,0
"UNEME-ERHUNRUN, IGBODE P/S I",7.2977184,6.2482149,20,19,1,0
"UNEME-ERHUNRUN, IGBODE  P/S II",7.2977184,6.2482149,72,71,60,0
"UNEME-URHUNRUN,  BY C.A. JOHN'S FRONTAGE I",7.2977184,6.2482149,32,16,5,0
"UNEME-ERHUNRUN , BY C.A JOHN'S FRONTAGE II",7.2977184,6.2482149,60,107,95,1
"OSOSO, OLD MATERNITY",7.405678,6.2453091,84,102,27,1
"OSOSO,  OLD ANNI",7.4172119,6.2626667,99,72,58,1
"OSOSO, EGBETUA P/S",7.3766086,6.2678837,120,96,62,0
"OSOSO,  BY OGEDENGBE'S COMP",7.4172119,6.2626667,64,74,32,6
"OSOSO,  OKHE PFRIMARY SCHOOL I",7.4129285,6.2565696,60,44,37,0
"OSOSO, OKHE PRIMARY SCHOOL II",7.4129285,6.2565696,85,115,15,0
"OSOSO,  IKPENA HALL",7.4184823,6.2576768,69,49,70,0
"OSOSO,  UDUEGEDE HALL",7.4180232,6.2591808,92,17,85,0
"OSOSO,  UDUREVBE T. SQ.",7.4172119,6.2626667,71,67,78,1
"OSOSO,  IKUEGBEDE P/S",7.4172119,6.2626667,58,181,19,4
"OSOSO,  IREVBE UDEGWA SQ.",7.4172119,6.2626667,76,43,60,0
"OSOSO,  OLD ST. PETERS",7.4172119,6.2626667,33,85,28,1
"OSOSO,  OLD L.A. P/S",7.4172119,6.2626667,90,135,15,0
ASORO GRAM SCH. EVBUOTUBU I,6.3447089,5.5841722,0,0,0,0
ASORO GRAM. SCH. EVBUOTUBU II,6.3447089,5.5841722,0,0,0,0
EVBUOTUBU SEC. SCHOOL,6.3447089,5.5841722,25,157,7,0
"EVBUOTUBU SC. SCHO0L,  EVBUOTUBU",6.338345,5.5721887,18,118,7,2
"OMO NUSERY PRIMARY SCHOOL, EVBUOTUBU I",6.3497348,5.5866728,15,188,11,1
"EVBUOTUBU PRIMARY SCHOOL,  EVBUOTUBU I",6.3447089,5.5841722,13,159,8,1
"EVBUOTUBU TOWN HALL,  EVBUOTUBU I",6.3379855,5.5809249,10,159,18,0
"ARUOSA PRIMARY SCHOOL,  EVBUOTUBU II",6.353232,5.703973,10,105,4,2
"URUMWON PRIMARY SCHOOL,  EVBUOTUBU I",6.3648985,5.5567002,9,107,5,2
"URUMWON PRIMARY SCHOOL, EVBUOTUBU II",6.3648985,5.5567002,9,117,10,5
"UGBIKHOKO PRIMARY SCHOOL,  EVBUOTUBU",6.3447089,5.5841722,18,292,11,0
"OGBOMWAN PRIMARY SCHOOL,  EVBUOTUBU",6.31894,5.5723938,9,209,4,0
"AUNTY MARIA NUR/PRIMARY SCHOOL, OLIHA I",6.3504327,5.6006474,12,134,4,0
"AUNTY MARIA NUR/PRIMARY SCHOOL, OLIHA III",6.3504327,5.6006474,16,105,5,1
"AUNTY MARIA NUR/PRIMARY SCHOOL, OLIHA V",6.3504327,5.6006474,13,129,0,0
"ABRAKA STANDARD NUR. SCHOOL, OLIHA VI",6.3497348,5.5866728,7,134,5,0
"ABRAKA STANDARD NUR. SCHOOL, OLIHA VII",6.3497348,5.5866728,15,118,9,0
"ORONMIYAN PRIMARY SCHOOL, OLIHA I",6.3485922,5.5940871,78,193,5,2
"ORONMIYAN PRIMARY SCHOOL, OLIHA II",6.3496293,5.5845147,7,73,7,3
"JOSSY WISDOM NUR/PRIMARY SCHOOL, OLIHA I",6.3474552,5.5886901,14,129,8,4
"JOSSY WISDOM NUR/PRIMARY SCHOOL, OLIHA II",6.3474552,5.5886901,15,109,10,3
"JOSSY WISDOM NUR/PRIMARY SCHOOL, OLIHA III",6.3474552,5.5886901,16,176,11,1
"NIGHTINGALE NUR/PRIMARY SCHOOL, OLIHA I",6.3497348,5.5866728,10,44,3,0
"NIGHTINGALE NUR/PRIMARY SCHOOL, OLIHA II",6.3497348,5.5866728,23,165,3,0
"OGIDA MOTOR PARK,  OGIDA I",6.3592412,5.5993545,23,126,4,4
"OGIDA MOTOR PARK,  OGIDA II",6.3592412,5.5993545,31,151,9,0
"OGIDA MOTOR PARK, OGIDA III",6.3592412,5.5993545,15,118,9,1
"OGIDA MOTOR PARK,  OGIDA IV",6.3592412,5.5993545,13,132,9,3
"OGIDA MOTOR PARK,  OGIDA V",6.3617534,5.5774814,0,0,0,0
OGIDA MOTOR PARK OGIDA VI,6.3592412,5.5993545,17,151,8,1
OGIDA PRIMARY SCHOOL OGIDA I,6.3625485,5.5983043,9,121,6,0
"OGIDA PRIMARY SCHOOL, OGIDA II",6.3676708,5.5933298,26,143,3,2
"ENINA NUR/PRIMARY SCHOOL, OGIDA I",6.3580168,5.5945568,7,116,8,2
ENINA NUR/PRIMARY SCHOOL OGIDA II,6.3580168,5.5945568,16,137,8,1
HOPEWELL GROUP OF SCH. USE,6.4486755,5.5887444,20,132,6,4
EWEKA PRIMARY SCHOOL USE I,6.3621918,5.5828976,17,205,5,1
EWEKA PRIMARY SCHOOL USE II,6.362203,5.5825927,14,136,5,0
EWEKA PRIMARY SCHOOL USE III,6.362203,5.5825927,0,0,0,0
EWEKA PRIMARY SCHOOL USE IV,6.362203,5.5825927,23,94,10,0
EWEKA PRIMARY SCHOOL USE V,6.362203,5.5825927,16,130,13,2
USE TOWN HALL USE,6.3633706,5.5808061,17,92,6,1
USE SEC. SCHOOL USE I,6.3803094,5.5653131,11,129,2,0
BLESSED ASSURANCE NUR/PRIMARY SCHOOL,5.4896595,5.9662559,12,125,7,0
"EGOR PRIMARY SCHOOL,  EGOR  I",6.3497348,5.5866728,11,143,4,0
"EGOR PRIMARY SCHOOL,  EGOR  II",6.3789478,5.5783385,14,117,8,0
"EGOR PRIMARY SCHOOL,  EGOR III",6.3789478,5.5783385,27,163,11,3
"EGOR SEC. SCHOOL,  EGOR  I",6.3789478,5.5783385,17,127,4,2
"EGOR SEC. SCHOOL,  EGOR II",6.3789478,5.5783385,19,158,11,1
"TIPPER GARAGE,  EGOR",6.3177322,5.6591931,0,0,0,0
"TIPPER GARAGE/,MARKET SQUARE,  EGOR II",6.3177322,5.6591931,15,98,4,0
"P &  T TRAINING SCH, EGOR",43.4420094,-80.4861111,9,93,12,0
"AMEGOR PRIMARY SCHOOL, UWELU I",6.3828483,5.5879694,0,0,0,0
"AMEGOR PRIMARY SCHOOL, , UWELU II",6.3828483,5.5879694,0,0,0,0
"AMEGOR PRIMARY SCHOOL, UWELU III",6.3828483,5.5879694,0,0,0,0
"UWELU SEC. SCHOOL,  UWELU II",6.3828364,5.587986,14,208,10,0
"UWELU SEC. SCHOOL,  UWELU",6.3828483,5.5879694,13,136,7,4
"UWELU ROAD/UWASOTA JUNCT. , UWELU I",6.3786356,5.5893672,18,171,6,0
"UWELU ROAD/UWASOTA JUNCT. , UWELU II",6.3786356,5.5893672,11,110,3,0
"UWELU HEALTH CENTRE,  UWELU II",6.3858081,5.5831233,0,0,0,0
"POLICE CHILDREN SCH., UWELU I",6.3676708,5.5933298,10,105,12,0
"POLICE CHILDREN SCH. , UWELU II",6.3676708,5.5933298,12,88,12,1
"UDENS INT. SCH.,  EVBAREKE I",6.3657247,5.6114699,27,119,10,0
"UDENS INT. SCH.,  EVBAREKE II",6.3657247,5.6114699,31,136,13,0
"UDENS INT. SCH.,  EVBAREKE III",6.3657247,5.6114699,0,0,0,0
"UNDER A TREE BY UWELU RD.,  EVBAREKE I",6.3657247,5.6114699,12,91,20,0
"UNDER A TREE BY UWELU RD.,  EVBAREKE II",6.3657247,5.6114699,30,166,28,4
"BASO INT. SCH.,  EVBAREKE I",6.3657247,5.6114699,29,95,23,2
"BASO INT. SCH. , EVBAREKE II",6.3657247,5.6114699,32,138,28,2
"ADAMS INT. SCH.,  EVBAREKE I",6.3587681,5.5930116,27,109,17,0
"ADAMS INT. SCH., EVBAREKE  II",6.3657247,5.6114699,39,135,25,0
"EVBAREKE GRAM SCH.,  EVBAREKE I",6.3657247,5.6114699,18,143,16,2
"EVBAREKE GRAM SCH. , EVBAREKE III",6.3657247,5.6114699,38,150,17,2
"EVBAREKE GRAM SCH.,  EVBAREKE IV",6.3648122,5.6153391,20,120,16,2
"EVBAREKE GRAM SCH. , EVBAREKE V",6.3657247,5.6114699,19,123,5,1
AKA-ISOKAN JUNCTION (AKA INT. SCH EVBAREKE I),6.3377608,5.6020585,28,107,8,0
AKA-ISOKAN JUNCTION (AKA INT. SCH EVBAREKE II),6.3657247,5.6114699,29,89,13,1
AKA-ISOKAN JUNCTION (AKA INT. SCH EVBAREKE III),6.3657247,5.6114699,10,148,9,2
"USELU TOWN HALL , USELU I-I",6.3613494,5.6190136,15,132,2,2
"USELU TOWN HALL,  USELU I-II",6.3613494,5.6190136,15,128,11,2
"OLUA PRIMARY SCHOOL,  USELU I - I",6.3622328,5.6181325,17,132,6,0
"OLUA PRIMARY SCHOOL,  USELU I - II",6.3707111,5.6177447,13,123,6,3
"OLUA PRIMARY SCHOOL,  USELU I- III",6.3622328,5.6181325,17,122,5,1
"OLUA PRIMARY SCHOOL,  USELU I-IV",6.3622328,5.6181325,10,125,5,0
"OLUA PRIMARY SCHOOL,  USELU I-V",6.3622328,5.6181325,10,123,8,0
"OLUA PRIMARY SCHOOL,  USELU  I-VII",6.3622328,5.6181325,14,113,5,0
"OLUA PRIMARY SCHOOL, USELU  I-VIII",6.3622328,5.6181325,16,98,5,0
"USELU MOTOR PARK,  USELU I-I",6.368111,5.6173761,13,102,11,0
"USELU MOTOR PARK,  USELU I-II",6.368104,5.6179166,21,122,6,3
"FED. ROAD/PUBLIC FIELD,  USELU II -I",6.3580813,5.6264463,13,129,4,0
"FED. ROAD/PUBLIC FIELD,  USELU II-II",6.3736358,5.6118808,9,170,6,0
"FED. ROAD/PUBLIC FIELD,  USELU II-III",6.3736358,5.6118808,13,96,2,0
"FED. ROAD/PUBLIC FIELD,  USELU II-IV",6.3736358,5.6118808,12,139,4,1
"PARAMOUNT NUR/PRIMARY SCHOOL , USELU II-I",6.3686853,5.6210728,18,173,6,3
"PARAMOUNT NUR/PRIMARY SCHOOL,  USELU II - II",6.3686853,5.6210728,6,131,13,1
"PARAMOUNT NUR/PRIMARY SCHOOL , USELU II -III",6.3652589,5.6208251,10,127,6,3
"USELU SEC. SCHOOL,  USELU II-II",6.3744816,5.6101504,10,141,5,1
"USELU SEC. SCHOOL, USELU II-III",6.3741219,5.6100785,12,110,3,2
"USELU SEC. SCHOOL,  USELU II-IV",6.3741219,5.6100785,7,148,3,0
"USELU SEC. SCHOOL,  USELU II-V",6.3741219,5.6100785,7,135,2,3
"USELU SEC. SCHOOL,  USELU II-VI",6.3741219,5.6100785,14,121,3,1
"USELU SEC. SCHOOL,  USELU II-VII",6.3741219,5.6100785,6,120,2,1
"GOLDEN TOUCH SEC. SCH. , EDAIKEN I",6.3838847,5.6113805,19,161,7,0
"GOLDEN TOUCH SEC. SCH.,  EDAIKEN II",6.3717358,5.613563,12,106,3,1
"GOLDEN TOUCH SEC. SCH.,  EDAIKEN IV",6.3717358,5.613563,15,195,6,4
"EDAIKEN PRIMARY SCHOOL , EDAIKEN V",6.3707111,5.6177447,16,142,7,0
"EDAIKEN PRIMARY SCHOOL , EDAIKEN I",6.3707111,5.6177447,16,128,3,1
"EDAIKEN PRIMARY SCHOOL, EDAIKEN II",6.3707111,5.6177447,12,127,3,1
"EDAIKEN PRIMARY SCHOOL,  EDAIKEN III",6.3707111,5.6177447,21,109,9,1
"EDAIKEN PRIMARY SCHOOL,  EDAIKEN IV",6.3707111,5.6177447,14,117,5,3
"UNIVERSAL COMM HALL/PUBLIC FIELD,  EDAIKEN I",6.3704987,5.6173458,10,112,12,1
"UNIVERSAL COMM HALL/PUBLIC FIELD, EDAIKEN II",6.3704987,5.6173458,16,102,8,0
"EGHOSA ANG. SCH.,  OKHORO I -I",6.3691042,5.6326517,8,114,10,1
"EGHOSA GRAM SCH. , OKHORO I- II",6.3691042,5.6326517,12,125,5,0
"EGHOSA GRAM SCH.,  OKHORO I -III",6.3691042,5.6326517,28,187,5,2
"EGHOSA GRAM SCH.,  OKHORO I -IV",6.3691042,5.6326517,11,119,4,1
"EGHOSA GRAM SCH.,  OKHORO I-V",6.3691042,5.6326517,18,129,5,2
"EGHOSA GRAM SCH.,  OKHORO I-VI",6.3574728,5.6247562,13,116,5,1
"EGHOSA GRAM SCH. , OKHORO I-VII",6.3574728,5.6247562,18,134,5,1
"EGHOSA GRAM SCH., OKHORO I-VIII",6.3574728,5.6247562,29,181,9,2
"AYELA UWANGUE NUR/PRI. SCHOOL,  OKHORO II-I",6.3497348,5.5866728,5,143,13,1
"AYELA UWANGUE NUR/PRI. SCHOOL , OKHORO II-II",6.3497348,5.5866728,15,150,9,3
"OKHORO LIVESTOCK , OKHORO II-I",6.3691042,5.6326517,30,98,7,2
"OKHORO LIVESTOCK,  OKHORO II-II",6.3691042,5.6326517,11,157,6,1
"OKHORO LIVESTOCK , OKHORO II-III",6.3691042,5.6326517,12,146,8,0
"OKHORO LIVESTOCK,  OKHORO II-IV",6.3691042,5.6326517,10,160,11,1
"OKHORO LIVESTOCK , OKHORO II-V",6.3691042,5.6326517,20,143,12,0
"OKHORO POLICE STATION,  OKHORO II-I",6.3777382,5.6389646,16,147,3,1
"OKHORO POLICE POST, OKHORO II-II",6.3777382,5.6389646,19,130,10,2
"OKHORO POLICE POST,  OKHORO II-III",6.3777382,5.6389646,12,117,7,2
"OKHORO PRIMARY SCHOOL,  OKHORO II-I",6.3691042,5.6326517,0,139,10,3
"OKHORO PRIMARY SCHOOL,  OKHORO II-II",6.3691042,5.6326517,11,123,4,2
"BENIN TECHNICAL COLLEGE,  UGBOWO I",6.3843796,5.6292413,12,154,11,0
"IYOBA COLLEGE,  UGBOWO I-I",6.3819245,5.6235023,7,145,8,0
"IYOBA COLLEGE,  UGBOWO I-II",6.3819245,5.6235023,12,154,11,0
"IYOBA COLLEGE, UGBOWO I-III",6.3819245,5.6235023,4,110,11,0
"EWEKA GRAM SCH.,  UGBOWO I-I",6.3816234,5.626566,10,131,4,3
"EWEKA GRAM SCH.,  UGBOWO I-II",6.3816234,5.626566,6,69,4,3
"UGBOWO PRIMARY SCH.,  UGBOWO II-I",6.3828696,5.6051074,7,152,5,2
"UGBOWO PRIMARY SCH.,  UGBOWO II-III",6.3828696,5.6051074,4,118,4,0
"UGBOWO PRIMARY SCH.,  UGBOWO II-IV",6.3828696,5.6051074,10,131,4,3
"ADOLOR COLLEGE,  UGBOWO II-II",6.3864967,5.6037981,8,119,7,0
"ADOLOR COLLEGE,  UGBOWO II-III",6.4917571,5.5841957,7,126,3,2
"ADOLOR COLLEGE, UGBOWO",6.3876167,5.6053884,4,121,9,0
"ADOLOR COLLEGE,  UGBOWO II-IV",6.3914265,5.5945274,8,133,3,0
"OHONRE GRAM SCH. , UGBOWO II-I",6.399879,5.6089906,5,139,3,1
"OHONRE GRAM SCH. , UGBOWO II-II",6.3117523,5.5531789,5,110,7,2
"B.D.P.A.,  UGBOWO II-I",6.3961485,5.6053194,9,141,0,0
"B.D.P.A. , UGBOWO II-II",6.3961485,5.6053194,7,123,0,3
"UBTH POLICE POST,  UGBOWO II-I",6.3903432,5.6118041,7,190,1,1
"UBTH POLICE POST,  UGBOWO II-II",6.3903432,5.6118041,12,426,10,0
"IBORE PRIMARY SCHOOL , IBORE-I",6.779661,6.2920425,37,99,44,4
"IBORE PRIMARY SCHOOL , IBORE-II",5.9453284,5.6725243,44,124,56,0
"UGBALO PRIMARY SCHOOL,  UGBALO",6.762946,6.341363,68,35,32,0
"ATUAGBO PRIMARY SCHOOL,  ATUAGBO",6.8001296,6.3281321,76,43,82,0
"ASSEMBLIES OF GOD MISS SCH.,  ATUAGBO I",6.7542533,6.1388114,50,31,81,0
"ASSEMBLIES OF GOD MISS SCH. , ATUAGBO II",6.7827385,6.2967737,40,39,61,0
OKHOROMI VILL. SQUARE/EKO-GUANLAN,6.8047114,6.3119743,0,12,4,1
EKILOR PRIMARY SCHOOL/EKILOR,6.7953775,6.319035,3,65,28,0
UDOMI PRIMARY SCHOOL/UDOMI- I,6.7682145,6.353187,44,51,8,0
UDOMI PRIMARY SCHOOL/UDOMI- II,6.7774484,6.3598367,122,51,3,0
UDOMI PRIMARY SCHOOL/UDOMI-III,6.5084856,6.3142071,67,88,11,0
UNOGBO PRIMARY SCHOOL/UNOGBO`,6.769173,6.3414298,115,45,36,0
UJABHOLE PRIMARY SCHOOL/UJABHOLE I,6.762946,6.341363,37,44,28,1
UJABHOLE PRIMARY SCHOOL/UJABHOLE II,6.762946,6.341363,15,61,60,0
UJABHOLE PRIMARY SCHOOL/UJABHOLE III,6.762946,6.341363,26,97,6,0
UJABHOLE PRIMARY SCHOOL/UJABHOLE IV,6.762946,6.341363,48,51,45,0
AFUDA PRIMARY SCHOOL/UJABHOLE I,6.7087831,6.3130587,85,48,17,1
AFUDA PRIMARY SCHOOL/UJABHOLE II,6.762946,6.341363,70,31,41,0
IDUMOZA PRIMARY SCHOOL/IDUMOZA I,6.762946,6.341363,19,38,11,2
IDUMOZA PRIMARY SCHOOL/IDUMOZA II,6.8125288,6.3731799,16,75,25,4
UWESSAN PRIMARY SCHOOL/UWESSAN I,6.7737262,6.3580911,57,93,15,0
UWESSAN PRIMARY SCHOOL/UWESSAN II,6.7737262,6.3580911,45,102,8,0
IDUMOGHODOR TOWN HALL/UWESSAN III,6.7708063,6.338936,43,88,19,0
OHE PRIMARY SCHOOL/OHE I,6.762946,6.341363,52,66,3,2
OHE PRIMARY SCHOOL/OHE II,6.762946,6.341363,50,76,20,0
EKO-IYOBHEBHE PRY SCHOOL/EKO-IYOBHEBHE,6.7627346,6.2375287,57,202,11,1
AGWA PRY. SCHOOL/AGWA,6.7368917,6.2132007,0,0,0,0
UDOWO PRIMARY SCHOOL/UDOWO I,6.762946,6.341363,23,68,55,0
UDOWO PRIMARY SCHOOL/UDOWO II,6.762946,6.341363,26,96,57,0
IDINEGBON PRY. SCH./IDINEGBON I,6.7367989,6.303556,62,63,118,0
IDINEGBON PRY. SCH./IDINEGBON II,6.7367989,6.303556,44,71,71,1
IKEKATO SEC. SCHOOL/IKEKATO,6.7377876,6.2087302,26,35,83,0
UGBOKHARE PRIMARY SCHOOL/UGBOKHARE I,6.7368917,6.2132007,137,104,0,0
AKHO PRY. SCHOL/AKHO II,6.3338485,5.6477668,24,131,25,1
EGUARE PRI. SCHOOL/EGUARE I,6.7897541,6.2322852,0,0,0,0
EGUARE PRI. SCHOOL/EGUARE II,6.7897541,6.2322852,20,177,25,0
USENU PRY. SCHOOL/USENU,6.7368917,6.2132007,21,251,5,0
IDIDIGBA PRY. SCHOOL/IDIDIGBA I,6.3433039,5.6131867,31,113,137,1
IDIDIGBA PRY. SCHOOL/IDIDIGBA II,6.3433039,5.6131867,41,19,188,0
USUGBENU PRY. SCHOOL/USUGBENU I,6.64205,6.38973,17,115,134,0
USUGBENU PRY. SCHOOL/USUGBENU II,6.64205,6.38973,26,85,47,0
USUGBENU PRY. SCHOOL/USUGBENU III,6.64205,6.38973,42,145,20,0
IRRUA GIRLS' SEC. SCH./IRRUA,6.7377876,6.2087302,28,117,17,4
IDUMEBO PRY. SCH./IDUMEBO I,6.7317325,6.2073205,42,145,20,0
IDUMEBO PRY. SCH./IDUMEBO II,6.7317325,6.2073205,50,134,27,2
IDUMEBO PRY. SCH./IDUMEBO II,6.7317325,6.2073205,31,163,52,5
IDUMABI SQUARE/ IDUMABI,6.7283611,6.2083603,10,54,7,0
IDUMABI SQUARE/ IDUMABI,6.7283611,6.2083603,1,58,9,1
UZOGHOLO PRY. SCH./UZOGHOLO II,6.7805117,6.251866,10,97,21,3
UZOGHOLO PRY. SCH./UZOGHOLO II,6.7805117,6.251866,16,165,37,0
UZOGHOLO PRY. SCH./UZOGHOLO II,6.7805117,6.251866,0,0,0,0
EHANLEN PRY. SCH./EHANLEN II,6.7627346,6.2375287,13,122,59,0
EHANLEN PRY. SCH./EHANLEN II,6.7627346,6.2375287,68,181,21,2
EGBOR CAMP/EGBOR,6.7627346,6.2375287,78,45,13,1
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,35,177,23,2
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,24,120,14,1
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,30,191,22,3
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,37,103,22,0
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,34,98,33,0
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,45,34,4,0
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,16,25,122,0
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,9,80,26,3
IDUNWELE PRY. SCH./IDUNWELE   I,6.7813562,6.2367225,52,180,54,0
"EGUARE, PRY. SCH./EGUARE II",6.518096,6.408163,34,119,34,0
